"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DNTT",11.4145731011857,2.7442718307094,11.829722643491,4.09524658939518e-06,0.0129553486500286,3.84900724149905
"ERLIN1",-1.96301438965411,7.03616769305629,-5.50211904220675,0.000717950652024627,0.0402558339542333,-0.151947682730317
"KAZALD1",5.18283538334737,-1.17655679332096,5.05896441985205,0.00119450344770393,0.0481183834388933,-0.632224800971989
"RASD1",3.67706878537103,2.06710545219102,5.05110988779037,0.00120562467088536,0.0483470600493035,-0.453684105579615
"PMP22",-3.57049114626385,1.23985936489041,-5.91517194751448,0.000457289562109795,0.0365459932774616,0.450689780336089
"CTSC",-1.81034175684466,6.62643961042991,-6.03124806346749,0.000404408529010027,0.0354785644397825,0.442192832813144
"POU2AF1",3.52679610949991,5.93605347256654,5.34531797693874,0.000857031775795483,0.0426273775428056,-0.299370719272017
"BCL7A",3.67050074022031,6.35488975049158,5.50785147415229,0.000713362236186391,0.0402558339542333,-0.0987815842004904
"LIN7A",-4.4903614800388,3.04443232144962,-8.24859814840855,5.11788251333089e-05,0.0136166303248262,2.57056389196258
"SLC26A8",-2.88110894668085,3.06154246918392,-6.58717453034309,0.000229536595530786,0.0263811466829536,1.0972474018016
"PHACTR2",-2.55755112424551,6.64914967337444,-7.85025479692636,7.16383106954175e-05,0.0160354943470042,2.22487750576071
"TENT5A",-3.82988569069567,6.33493989651465,-9.07205826774662,2.65948712745543e-05,0.0129553486500286,3.21255472370376
"CISH",-2.19252166834561,2.8181392168079,-5.32068091898261,0.000881476164866472,0.0430020854241694,-0.24970245037504
"MAPKAPK3",-1.64762355113693,6.63685905008055,-5.0136125946872,0.00126031169464641,0.0494952139077064,-0.749780763448399
"TANC1",-1.92474384180742,3.05241159484315,-5.48649480267875,0.000730623311670717,0.0405827497155983,-0.0806893334138765
"IL18R1",-3.36821089520925,4.00377325845086,-6.45668891657244,0.000261333633694248,0.0285823124206564,0.94162102659155
"MSH6",4.00887866581928,6.13143786836145,5.0848718621116,0.00115861433085458,0.0476155380456055,-0.593296856447137
"DHCR24",-4.48279445440305,2.05520097617811,-5.91210611894817,0.00045878659465789,0.0365459932774616,0.423448192575577
"NID1",-2.53862331380309,2.01885062163404,-5.50203065304426,0.000718021656432117,0.0402558339542333,-0.0323603337840703
"MTARC2",-5.36226042811009,0.0194100536392089,-9.12556230529003,2.55323033389318e-05,0.0129553486500286,2.91839577511853
"TRPM6",-3.23385191817194,2.82520374855062,-6.1184776776939,0.000369132676912512,0.0341757792100167,0.619694263462152
"DENND10",-2.306247940775,4.90158744680308,-5.38366330291829,0.000820461878201369,0.0416588609870084,-0.267330169175096
"CYSTM1",-2.18744560104709,4.71923520015384,-4.9939143580164,0.00129012944642368,0.0499906730068512,-0.728488058491189
