"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051873","BP","GO:0051873","killing by host of symbiont cells",36,-0.707121979275151,-1.67335391495221,0.00177619893428064,0.00177619893428064,0.146567851847429,7727,"tags=44%, list=10%, signal=40%","CXCL6/GAPDH/MYD88/DAO/F2RL1/APOL1/POMC/CAMP/DEFA5/LTF/DEFA1/DEFA1B/TREM1/CTSG/AZU1/ELANE"
"GO:1900027","BP","GO:1900027","regulation of ruffle assembly",30,-0.731825791219223,-1.67352016549243,0.00181159420289855,0.00181159420289855,0.146567851847429,7857,"tags=33%, list=10%, signal=30%","RHOG/PFN2/EPS8L1/PFN1/DEF8/ARHGAP24/EPS8L2/TACSTD2/NLGN1/CAV1"
"GO:0032692","BP","GO:0032692","negative regulation of interleukin-1 production",54,-0.666635026612371,-1.67559139937914,0.00355239786856128,0.00355239786856128,0.160061400112748,12734,"tags=33%, list=16%, signal=28%","IL10/PML/GSTP1/GAS6/IGF1/CPTP/NR1H4/ZC3H12A/IL1R2/ARRB2/FFAR4/NLRP7/SERPINB1/CX3CR1/CARD16/MEFV/NLRP12/GHSR"
"GO:0016559","BP","GO:0016559","peroxisome fission",12,-0.865402372217622,-1.67679350060808,0.00381679389312977,0.00381679389312977,0.160061400112748,777,"tags=50%, list=1%, signal=50%","FIS1/PEX11G/MFF/SEC16B/PEX11A/CRYZL2P-SEC16B"
"GO:0045602","BP","GO:0045602","negative regulation of endothelial cell differentiation",11,-0.879959187460176,-1.67730944406703,0.00386100386100386,0.00386100386100386,0.160061400112748,5426,"tags=55%, list=7%, signal=51%","ACVRL1/ZEB1/DSG2/S1PR3/VEGFA/JAG1"
"GO:0019834","MF","GO:0019834","phospholipase A2 inhibitor activity",8,-0.926308880644216,-1.67801475901826,0.00193423597678917,0.00193423597678917,0.146567851847429,4683,"tags=62%, list=6%, signal=59%","ANXA2P2/SCGB1A1/PPT1/ANXA3/ANXA8"
"GO:0090022","BP","GO:0090022","regulation of neutrophil chemotaxis",33,-0.725701653813295,-1.67809449949925,0.00182481751824818,0.00182481751824818,0.146567851847429,9756,"tags=48%, list=12%, signal=42%","MOSPD2/THBS4/TIRAP/MCU/JAM3/RAC2/CXCL8/DAPK2/DPP4/C5AR1/PERP/LBP/BST1/C5AR2/TNFAIP6/C3AR1"
"GO:0018126","BP","GO:0018126","protein hydroxylation",16,-0.822327729205683,-1.67884476492554,0.00383877159309021,0.00383877159309021,0.160061400112748,9978,"tags=56%, list=13%, signal=49%","EGLN3/P3H1/P3H2/PLOD1/PLOD3/PLOD2/P3H4/P4HB/P3H3"
"GO:0075509","BP","GO:0075509","endocytosis involved in viral entry into host cell",14,-0.839966764499702,-1.67993465435931,0.00566037735849057,0.00566037735849057,0.192440232959983,4935,"tags=57%, list=6%, signal=54%","KIAA0319L/TPCN1/TPCN2/DPP4/ACE2/SIGLEC1/CAV1/CAV2"
"GO:0034113","BP","GO:0034113","heterotypic cell-cell adhesion",61,-0.651214146305137,-1.68035099284728,0.00355871886120996,0.00355871886120996,0.160061400112748,7569,"tags=41%, list=10%, signal=37%","ITGAD/MADCAM1/JAM3/PTPRC/KLF4/NRCAM/ITGA7/MYADM/DSP/ITGB7/SKAP1/GLDN/CD2/IL1RN/SIRPA/PERP/PKP2/CD1D/DSG2/ITGAM/ITGAX/ITGB2/ITGAV/CD200R1/DSC2"
"GO:0071398","BP","GO:0071398","cellular response to fatty acid",42,-0.691353200989979,-1.6804352300877,0.00532859680284192,0.00532859680284192,0.192440232959983,6901,"tags=48%, list=9%, signal=43%","AKR1C1/NR1H4/PLCB1/CDK4/ZC3H12A/KCNK2/AKR1C2/AKR1C3/PRKCD/DGAT2/HMGCS2/LPL/LDLR/CAMP/FFAR2/ASS1/CPS1/AKR1C4/PID1/CD4"
"GO:0045123","BP","GO:0045123","cellular extravasation",73,-0.629402688957357,-1.68156365376791,0.00176678445229682,0.00176678445229682,0.146567851847429,7734,"tags=36%, list=10%, signal=32%","GCNT1/MADCAM1/JAM3/PLCB1/CCL2/IL27RA/F11R/SELP/IL1R1/ITGB7/CD177/EXT1/ST3GAL4/SIRPA/PDGFD/CX3CR1/ADAM8/BST1/ITGB2/JAML/CCR2/SELPLG/ITGA1/PRTN3/AZU1/ELANE"
"GO:0061684","BP","GO:0061684","chaperone-mediated autophagy",16,-0.824225075219494,-1.6827183414929,0.00383877159309021,0.00383877159309021,0.160061400112748,4769,"tags=50%, list=6%, signal=47%","STUB1/ATP13A2/LAMP2/ZDHHC12/GFAP/BAG3/CTSA/CLU"
"GO:0001794","BP","GO:0001794","type IIa hypersensitivity",11,-0.883476596121296,-1.68401405361031,0.00386100386100386,0.00386100386100386,0.160061400112748,5018,"tags=55%, list=6%, signal=51%","C3/IGHG1/IGHE/FCGR2A/FCGR2B/FCER1G"
"GO:0002445","BP","GO:0002445","type II hypersensitivity",11,-0.883476596121296,-1.68401405361031,0.00386100386100386,0.00386100386100386,0.160061400112748,5018,"tags=55%, list=6%, signal=51%","C3/IGHG1/IGHE/FCGR2A/FCGR2B/FCER1G"
