"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0072577","BP","GO:0072577","endothelial cell apoptotic process",73,-0.516682007618506,-1.38040987083546,0.0459363957597173,0.0459363957597173,0.460040721588103,10784,"tags=34%, list=14%, signal=30%","TGFB1/GAS6/MAPK7/NGFR/MAP3K5/CD160/ID1/PDCD4/TEK/ECSCR/HIPK1/BMPR2/GATA3/CCL2/COL4A3/PLCG1/AKR1C3/FASLG/RGCC/SCG2/IL4/THBS1/F3/HLA-G/GATA2"
"GO:0086001","BP","GO:0086001","cardiac muscle cell action potential",88,-0.509643221034724,-1.38111366280169,0.0249110320284698,0.0249110320284698,0.365219224077963,6918,"tags=27%, list=9%, signal=25%","ATP1A1/HCN2/SCN2A/KCNQ1/SCN8A/CACNA2D1/DSP/ANK3/KCNJ2/RNF207/SLC8A1/FLNA/SCN5A/SLC4A3/CACNA1C/PKP2/CACNA1D/DSG2/KCNH2/ATP1B1/SCN7A/FGF13/DSC2/CAV1"
"GO:0043627","BP","GO:0043627","response to estrogen",65,-0.528266406522567,-1.38122101538786,0.0481283422459893,0.0481283422459893,0.462746843479798,8811,"tags=32%, list=11%, signal=29%","SFRP1/ARSB/ASH2L/GATA3/CYP27B1/TRIM24/CTNNA1/TRIM25/NCOA4/GAL/GATA6/GBA1/RARA/WNT7A/EPO/CITED4/CLDN18/AR/IGFBP2/MMP2/CAV1"
"GO:0032580","CC","GO:0032580","Golgi cisterna membrane",90,-0.508960887830426,-1.38271563695209,0.0340501792114695,0.0340501792114695,0.412080257863456,8174,"tags=31%, list=10%, signal=28%","CSGALNACT2/APH1A/GALNT3/TMEM87A/ZDHHC14/BCAP31/PITPNM1/GOLGA8S/GOLGA8T/ATP2C1/GOLGA8J/GOLGA8K/CHPF2/GOLGA8A/ST6GAL2/B4GALT2/GOLGA8O/A3GALT2/CHSY1/GOLGA8B/ST3GAL4/GOLGA8CP/B4GALNT3/CHPF/CHSY3/FUT6/B4GALT5/ABO"
"GO:0048708","BP","GO:0048708","astrocyte differentiation",90,-0.509996264935629,-1.38552848986031,0.0304659498207885,0.0304659498207885,0.398181228704288,7680,"tags=31%, list=10%, signal=28%","IFNGR1/VPS54/ID2/STAT3/NAGLU/SERPINE2/SHH/VIM/HES5/DAB1/EOMES/GFAP/LAMC3/LDLR/EPHA4/S100A9/S100A8/NTRK3/LIF/C5AR1/TAL1/APP/LRP1/S100B/GRN/TSPAN2/LAMB2/MYCN"
"GO:0030203","BP","GO:0030203","glycosaminoglycan metabolic process",65,-0.530297771109452,-1.38653228148898,0.0481283422459893,0.0481283422459893,0.462746843479798,6711,"tags=37%, list=9%, signal=34%","GCNT2/TGFB1/IDS/FOXC1/FGF2/UGDH/NAGLU/NDST1/IDUA/PXYLP1/HS3ST3A1/STAB2/GNS/HYAL2/GUSB/B3GAT1/HYAL4/HAS1/EXT1/SMPD3/HYAL3/PGLYRP1/TNFAIP6/HS3ST1"
"GO:0007566","BP","GO:0007566","embryo implantation",71,-0.521443324044943,-1.38794814080268,0.0460992907801418,0.0460992907801418,0.460040721588103,5889,"tags=32%, list=8%, signal=30%","LAMB1/VMP1/TGFBR1/STC2/FBLN1/ACVR1B/TRO/ITGB4/TEAD4/BSG/PCSK5/FBN2/SCGB1A1/EPO/CALR/PRLR/LIF/MMP9/PTGS2/GRN/TPPP3/VEGFA/MMP2"
"GO:0042987","BP","GO:0042987","amyloid precursor protein catabolic process",74,-0.515396787529486,-1.38818005978682,0.0415944540727903,0.0415944540727903,0.444320196578255,8371,"tags=30%, list=11%, signal=27%","IGF1/APH1A/CLN3/IFNGR1/ABCA7/BACE1/CASP3/FLOT2/GSAP/CHRNA7/APH1B/NCSTN/RTN2/ADAM9/RTN3/SLC2A13/RTN1/EPHA4/ADAM19/APP/DHCR24/CLU"
"GO:0051965","BP","GO:0051965","positive regulation of synapse assembly",72,-0.52119516960303,-1.38823665970751,0.0427807486631016,0.0427807486631016,0.447777536306752,5473,"tags=35%, list=7%, signal=32%","LINGO4/CBLN1/CUX2/RTN4RL1/NLGN2/DLG5/ST8SIA2/RTN4RL2/SEMA4A/TPBG/STAU2/NRXN1/EPHB1/IL1RAP/LINGO2/AMIGO2/WNT7A/EPHB2/AGRN/NTRK3/ADGRB1/CBLN2/PRKCA/NTRK1/NLGN1"
"GO:0032608","BP","GO:0032608","interferon-beta production",62,-0.536400079332106,-1.38959331099219,0.0409252669039146,0.0409252669039146,0.442162497642422,9608,"tags=37%, list=12%, signal=33%","TLR7/RELB/TOMM70/POLR3C/RIOK3/RIGI/MAVS/IRF7/TIRAP/NMI/POLR3B/OAS1/NLRX1/TRAF3/STING1/HMGB2/PTPRS/TLR3/IRF5/TLR2/SIRPA/TLR8/ISG15"
"GO:0032648","BP","GO:0032648","regulation of interferon-beta production",62,-0.536400079332106,-1.38959331099219,0.0409252669039146,0.0409252669039146,0.442162497642422,9608,"tags=37%, list=12%, signal=33%","TLR7/RELB/TOMM70/POLR3C/RIOK3/RIGI/MAVS/IRF7/TIRAP/NMI/POLR3B/OAS1/NLRX1/TRAF3/STING1/HMGB2/PTPRS/TLR3/IRF5/TLR2/SIRPA/TLR8/ISG15"
"GO:0010573","BP","GO:0010573","vascular endothelial growth factor production",65,-0.531569222974094,-1.38985665724676,0.0463458110516934,0.0463458110516934,0.460040721588103,10784,"tags=29%, list=14%, signal=25%","TGFB1/ATF4/IL6/BRCA1/ARNT/RORA/STAT3/C3/NDRG2/IL6R/BSG/CYP1B1/ADORA2B/C5AR1/SULF2/PTGS2/CCR2/ADAMTS3/C3AR1"
"GO:1900016","BP","GO:1900016","negative regulation of cytokine production involved in inflammatory response",55,-0.55044025229927,-1.38995030660633,0.0443262411347518,0.0443262411347518,0.458312932320603,9954,"tags=33%, list=13%, signal=29%","ABCD1/ADCY7/PDCD4/CHID1/JAK2/ABCD2/ZFP36/STAT3/MACIR/ZC3H12A/IL1R2/CHRNA7/NLRP7/EPHB2/SIRPA/HMOX1/MEFV/PRKCA"
"GO:0004879","MF","GO:0004879","nuclear receptor activity",59,-0.544070567962929,-1.39299980406904,0.0456942003514939,0.0456942003514939,0.460040721588103,10939,"tags=47%, list=14%, signal=41%","PGRMC2/NR3C2/RORC/NR2E3/NR1H2/ARNT/NR1H3/RORA/NR2F6/ABHD2/NR1H4/STAT3/THRB/PDE3A/ESR2/VDR/NR6A1/HNF4A/NR4A2/RARA/RXRA/NKX3-1/NR1I3/PAQR7/NR1I2/NR5A1/PPARG/AR"
"GO:0007632","BP","GO:0007632","visual behavior",62,-0.537746387822262,-1.39308104588362,0.0409252669039146,0.0409252669039146,0.442162497642422,7656,"tags=31%, list=10%, signal=28%","ABCA7/CHRNB2/GNAT2/ADAM2/ABCC8/RGS14/B4GALT2/B3GAT1/MEIS2/PPP1R1B/TANC1/DRD3/TAFA2/APP/HOXA1/SLC7A11/ATXN1/NETO1/KIT"
"GO:0072538","BP","GO:0072538","T-helper 17 type immune response",55,-0.551944574882905,-1.39374896345896,0.0443262411347518,0.0443262411347518,0.458312932320603,10518,"tags=36%, list=13%, signal=32%","NOTCH1/RORC/STAT5A/IL6/SLAMF6/RORA/JAK2/STAT3/ZC3H12A/JAK3/IL27RA/IL6R/IL17RA/CLEC6A/ASCL2/IL23R/EPHB2/LOXL3/ZBTB7B/SOCS3"
"GO:0008146","MF","GO:0008146","sulfotransferase activity",53,-0.553281704445569,-1.39461192513781,0.0472854640980736,0.0472854640980736,0.461581552407311,6482,"tags=40%, list=8%, signal=36%","GAL3ST3/HS3ST6/TPST2/SULT2A1/SULT1C4/CHST8/SULT6B1/NDST1/WSCD1/HS3ST3A1/CHST14/SULT1E1/CHST12/SULT4A1/WSCD2/NDST3/CHST13/CHST1/HS6ST3/HS3ST1/SULT1B1"
"GO:0021772","BP","GO:0021772","olfactory bulb development",37,-0.590589666609576,-1.39616079053092,0.0484739676840215,0.0484739676840215,0.464270482601769,11270,"tags=43%, list=14%, signal=37%","SRF/LHX2/ARX/OGDH/KIF14/ID2/ROBO1/CSF1R/SKI/AGTPBP1/EOMES/EXT1/SALL3/LRRK2/TTC8/UNCX"
"GO:0009595","BP","GO:0009595","detection of biotic stimulus",37,-0.591458959610558,-1.39821580922168,0.0484739676840215,0.0484739676840215,0.464270482601769,5133,"tags=32%, list=7%, signal=30%","SSC5D/NLRC4/NAIP/NOD2/CLEC6A/TLR2/TSPO/PTPRJ/CD1D/LBP/PGLYRP1/DACH1"
"GO:0072348","BP","GO:0072348","sulfur compound transport",68,-0.52877317200531,-1.39984536492275,0.0422535211267606,0.0422535211267606,0.446594883280214,11709,"tags=37%, list=15%, signal=31%","RACGAP1/SLC19A3/SLC26A7/SLC25A39/SLC22A1/ABCD1/NFE2L1/SLC3A2/LRRC8D/ABCC4/SLC25A40/SLC25A47/SLC1A1/SLC26A6/SLC26A2/SLC25A10/SLC35F3/SLC26A4/SLC6A6/SLC19A2/SLC7A11/SLC36A1/SLC26A8/SLC22A4/MGST1"
"GO:0014823","BP","GO:0014823","response to activity",84,-0.521146148064943,-1.39994982542162,0.0177935943060498,0.0177935943060498,0.302129582357071,9291,"tags=29%, list=12%, signal=25%","COL6A1/IL6/CDK1/CAPN3/GCLC/ITGA2/ALAD/TNS2/GCLM/AGT/COL4A2/KDM6B/SELENON/CAT/MYOG/CYBA/SCO2/ADSS1/PERM1/PRKN/PPARGC1A/PRKAG3/MMP2/KL"
"GO:0098531","MF","GO:0098531","ligand-modulated transcription factor activity",60,-0.544815989407201,-1.40042660304657,0.035778175313059,0.035778175313059,0.418894699958183,11088,"tags=48%, list=14%, signal=42%","BACH1/PGRMC2/NR3C2/RORC/NR2E3/NR1H2/ARNT/NR1H3/RORA/NR2F6/ABHD2/NR1H4/STAT3/THRB/PDE3A/ESR2/VDR/NR6A1/HNF4A/NR4A2/RARA/RXRA/NKX3-1/NR1I3/PAQR7/NR1I2/NR5A1/PPARG/AR"
"GO:0062208","BP","GO:0062208","positive regulation of pattern recognition receptor signaling pathway",88,-0.517156474131937,-1.40147429172084,0.0177935943060498,0.0177935943060498,0.302129582357071,11674,"tags=38%, list=15%, signal=32%","MAVS/SLC15A3/DDX60/HSP90B1/ABHD17A/ZDHHC3/RSAD2/NINJ1/USP15/TIRAP/NAGK/NR1H3/AKT1/ZCCHC3/MYD88/DHX58/SLC19A1/ZDHHC1/STING1/GBP2/STMP1/IFI35/PELI1/HSPA1A/CYBA/KCNK6/F2RL1/TRIM15/LTF/OASL/LBP/CD36/CD14"
"GO:0038024","MF","GO:0038024","cargo receptor activity",65,-0.536066979260269,-1.40161662424041,0.0445632798573975,0.0445632798573975,0.458312932320603,5133,"tags=31%, list=7%, signal=29%","SSC5D/DMBT1/CXCL16/SCARA3/STAB2/ASGR1/MARCO/SURF4/LDLR/TFR2/LRP1/CD36/APOBR/ITGAM/ITGB2/OLR1/ASGR2/ENPP2/LRP12/STAB1"
"GO:0098900","BP","GO:0098900","regulation of action potential",65,-0.536925559394247,-1.40386149332503,0.0445632798573975,0.0445632798573975,0.458312932320603,4340,"tags=31%, list=6%, signal=29%","HCN4/CASQ2/MTNR1B/CHRNB2/SLC9A1/CACNA2D1/DSP/GBA1/KCNJ2/RNF207/FLNA/SCN5A/SLC4A3/CACNA1C/PKP2/CD36/DSG2/FGF13/DSC2/CAV1"
"GO:0071709","BP","GO:0071709","membrane assembly",62,-0.542199786598036,-1.4046179814443,0.0391459074733096,0.0391459074733096,0.433510114806782,12374,"tags=47%, list=16%, signal=39%","STX4/TLCD1/BANF1/NSFL1C/ILK/DMKN/MIR138-1/UGCG/FLOT1/CHMP5/SPAST/COL6A1/UBXN2B/STX2/CHMP2A/TLCD2/CHMP3/REEP4/NLGN2/CHMP4C/ANK3/NRXN1/CDH2/MAFB/EPHB2/S100A10/NLGN1/CAV1/CAV2"
"GO:0016765","MF","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups",60,-0.54659266869054,-1.40499348247347,0.035778175313059,0.035778175313059,0.418894699958183,16239,"tags=48%, list=21%, signal=38%","GSTZ1/MGST2/NUS1/PDSS1/PDSS2/SMS/FDPS/COX10/NANS/LANCL1/COQ2/HMBS/GSTP1/MAT2A/SRM/TSR3/GSTM5/AGPS/DTWD2/MGST3/GSTM2/RABGGTA/GSTM4/GSTO1/ALOX5AP/LTC4S/HPGDS/PTGES/MGST1"
"GO:0071825","BP","GO:0071825","protein-lipid complex organization",61,-0.544575418100685,-1.40518729465213,0.0391459074733096,0.0391459074733096,0.433510114806782,7670,"tags=33%, list=10%, signal=30%","NR1H2/CETP/ABCA7/APOC3/AGT/DGAT1/FECH/NR1H4/PLAGL2/PNLIPRP1/FURIN/LPL/PLTP/PCSK5/AGTR1/PLA2G7/APOC1/ABCA5/APOA2/MPO"
"GO:0006956","BP","GO:0006956","complement activation",65,-0.537885699661041,-1.40637190454528,0.0445632798573975,0.0445632798573975,0.458312932320603,8950,"tags=37%, list=11%, signal=33%","C7/MASP1/CD46/CD55/A2M/CR1L/SUSD4/C3/IGHG1/IGHG2/IGHG4/VSIG4/C1RL/IGHE/C4BPA/SERPING1/IGHA1/FCN2/CR1/IGHA2/FCN1/CFP/CLU/CFD"
"GO:0032570","BP","GO:0032570","response to progesterone",36,-0.595037502488677,-1.40811396550491,0.0479573712255773,0.0479573712255773,0.462746843479798,7634,"tags=44%, list=10%, signal=40%","FOS/PTGER2/WBP2/TGFB1/VPS54/NR1H3/ABHD2/NCOA1/GABRB1/TRERF1/ABCB1/TSPO/THBS1/DSG2/GPI/CAV1"
"GO:1903317","BP","GO:1903317","regulation of protein maturation",67,-0.533766016780967,-1.40892594841622,0.0404217926186292,0.0404217926186292,0.439843891440719,7990,"tags=37%, list=10%, signal=34%","CLN3/AKT1/BAG2/IL1R2/SERPINE2/ACP4/FURIN/ANXA2P2/GSN/TMEM98/NLRC4/ASTL/ENO1/NLRP7/RPS6KA2/LDLRAD3/TFR2/THBS1/LRRK2/S100A10/F12/CTSZ/ADAM8/RASAL2/CDK20"
"GO:0032733","BP","GO:0032733","positive regulation of interleukin-10 production",43,-0.578583315183346,-1.40898049112157,0.044404973357016,0.044404973357016,0.458312932320603,9710,"tags=35%, list=12%, signal=31%","CD28/IL6/CD46/IL20RB/STAT3/TIGIT/F2RL1/NOD2/INAVA/IL4/TSLP/ISG15/LILRA5/PRKCZ/FCER1G"
"GO:0022627","CC","GO:0022627","cytosolic small ribosomal subunit",41,-0.586827781536573,-1.40910659008609,0.0398550724637681,0.0398550724637681,0.43794988699175,15946,"tags=37%, list=20%, signal=29%","RPS14/RPS15A/RPS6/RPS11/RPS24/RPS26/RPSA/RPS9/RPS27L/RPS5/RPS15/RPS23/FAU/RPS4Y2/RPS4Y1"
"GO:0030850","BP","GO:0030850","prostate gland development",51,-0.56343590851247,-1.40918181435499,0.0460992907801418,0.0460992907801418,0.460040721588103,10940,"tags=41%, list=14%, signal=35%","STK11/CRIP1/NOTCH1/FOXA1/STAT5A/NOG/BMP4/SFRP1/IGF1/SERPINF1/SHH/GLI1/PSAP/RARA/NKX3-1/FGFR2/PRLR/ALOX15B/AR/CYP7B1/MMP2"
"GO:0002762","BP","GO:0002762","negative regulation of myeloid leukocyte differentiation",57,-0.554608044729326,-1.41092746371378,0.0335097001763668,0.0335097001763668,0.408531413279948,4782,"tags=26%, list=6%, signal=25%","APCS/INHA/TLR3/RARA/IL4/MAFB/TRIB1/LTF/ZFPM1/CLDN18/FSTL3/TNFAIP6/INHBA/FBN1/GATA2"
"GO:0033032","BP","GO:0033032","regulation of myeloid cell apoptotic process",34,-0.603475660214878,-1.41143757718601,0.0499108734402852,0.0499108734402852,0.471961868140671,10495,"tags=44%, list=13%, signal=38%","ADAM17/GAS6/STAT5A/IRF7/MAEA/STAT5B/SELENOS/ITPKB/NOD2/EPO/PIK3CB/FCAR/SLC7A11/GHSR/FCER1G"
"GO:0042379","MF","GO:0042379","chemokine receptor binding",75,-0.524762884024603,-1.41200196760582,0.0329861111111111,0.0329861111111111,0.405482601035128,6224,"tags=24%, list=8%, signal=22%","CCL2/STAT3/DEFB4A/C3/CXCL16/CNIH4/STAT1/CXCL8/CXCL1/CCL4/CX3CR1/CCL26/CCL20/CCL1/CCR2/CCL24/CCL23/CXCL2"
"GO:0046513","BP","GO:0046513","ceramide biosynthetic process",78,-0.526516047616175,-1.41225369104492,0.0264550264550265,0.0264550264550265,0.373294505382404,13221,"tags=47%, list=17%, signal=39%","B4GALNT1/SPTLC1/CERS5/FA2H/TLCD3B/GSDMD/ORMDL1/B3GALT4/ST3GAL3/ST3GAL2/UGCG/CLN8/CERS1/CERS2/CERS6/DEGS1/SGMS1/ASAH2B/ALOXE3/CCN1/SPTSSB/ELOVL1/ALOX12B/ST8SIA2/SMPD1/PRKCD/UGT8/GBA1/ASAH1/ST6GALNAC3/CYP4F22/PNPLA1/ACE2/ST8SIA6/B4GALT5/SGMS2/SPTLC3"
"GO:0042130","BP","GO:0042130","negative regulation of T cell proliferation",79,-0.526203906888337,-1.41266266825202,0.024866785079929,0.024866785079929,0.365219224077963,9491,"tags=35%, list=12%, signal=31%","ARG1/HAVCR2/BMP4/GPNMB/IL20RB/CASP3/TNFRSF14/CD37/PRKAR1A/GNRH1/PTPN6/SHH/CTLA4/DLG5/PELI1/VSIG4/TSPAN32/PLA2G2D/SCGB1A1/FOXJ1/PAWR/NDFIP1/SDC4/ZBTB7B/CR1/HLA-G/CEBPB/PLA2G2F"
"GO:0006626","BP","GO:0006626","protein targeting to mitochondrion",80,-0.529558095288069,-1.41410910821217,0.0217391304347826,0.0217391304347826,0.340832070132839,15604,"tags=44%, list=20%, signal=35%","MTERF4/SREBF1/TOMM70/FIS1/TOMM34/SH3GLB1/TIMM17A/PMPCA/MFF/TOMM22/GSK3A/LEPROT/HAX1/TIMM8B/DNAJC19/PINK1/ATP5IF1/HSPA1L/TIMM13/TOMM40/SREBF2/UBE2J2/BCAP31/UBL5/MFN2/BID/TOMM7/FZD5/RAC2/BAG3/TSPO/LRRK2/PRKN/MICALL2/RHOU"
"GO:1903053","BP","GO:1903053","regulation of extracellular matrix organization",76,-0.527617622319008,-1.41474853367239,0.0262237762237762,0.0262237762237762,0.372374017355122,11125,"tags=37%, list=14%, signal=32%","LAMC1/EFEMP2/TGFB1/NOTCH1/TIE1/COL6A1/IL6/TNFRSF1A/AXIN2/LAMB1/AGT/STAT3/TGFBR1/DDR2/TNFRSF1B/TGFBR3/CFLAR/PRDM5/RGCC/DPP4/EMILIN1/PDPN/LRP1/NID1/PPARG/SLC2A10/CST3/LAMB2"
"GO:0032717","BP","GO:0032717","negative regulation of interleukin-8 production",37,-0.598981057606929,-1.41599813573165,0.0448833034111311,0.0448833034111311,0.460040721588103,5220,"tags=16%, list=7%, signal=15%","KLF4/SSC5D/OTUD7B/IL6R/BPI/ELANE"
"GO:1903321","BP","GO:1903321","negative regulation of protein modification by small protein conjugation or removal",90,-0.521293201713359,-1.41621935728396,0.021505376344086,0.021505376344086,0.339789271823487,15395,"tags=40%, list=20%, signal=32%","SIRT7/SQSTM1/PPIA/DTX3L/SVBP/GPS2/VPS28/ABL1/MARCHF7/RPL11/PER2/SPOPL/MAD2L1/MIR138-1/SH3RF2/CHP1/CAPN3/GCLC/COPS9/AKT1/HDAC8/MINAR1/BAG2/IVNS1ABP/ARRB2/FBXO5/TRIM21/HSPA1A/TSPO/BEX4/ISG15/ADGRB1/BEX2/BEX1/BEX3/CAV1"
"GO:0060590","MF","GO:0060590","ATPase regulator activity",50,-0.567512927639317,-1.41664287176318,0.0476190476190476,0.0476190476190476,0.462149113001596,11370,"tags=38%, list=14%, signal=33%","DNAJC19/DNAJB1/SIL1/ATP5IF1/MYBPC3/KATNB1/TOR1AIP1/HSPBP1/GRPEL2/BAG2/ATP6AP1/GRPEL1/PFN1/HYOU1/DNAJC1/ATP4B/BAG3/ATP1B1/HSPA4L"
"GO:0120013","MF","GO:0120013","lipid transfer activity",66,-0.539061017409062,-1.41815933687958,0.0352112676056338,0.0352112676056338,0.415725084455735,11854,"tags=41%, list=15%, signal=35%","ARV1/BLTP1/ATG2A/GRAMD1B/OSBPL2/CIDEA/BLTP3B/C2CD2L/SCP2/CLN3/CPTP/CETP/PITPNM1/TTPA/NPC2/OSBPL6/ESYT1/OSBPL1A/ABCA3/NME4/PLTP/STARD4/TSPO/OSBPL5/PLEKHA8/APOA2/STAR"
"GO:0045880","BP","GO:0045880","positive regulation of smoothened signaling pathway",39,-0.592067381210335,-1.41836194442318,0.05,0.05,0.471961868140671,11128,"tags=44%, list=14%, signal=37%","GORAB/FGF9/FOXA1/SFRP1/UCHL5/POR/CTNNA1/SHH/DRC4/GLI1/NDST1/EVC/DLG5/TEDC1/CHSY1/INTU/SCUBE1"
"GO:0071404","BP","GO:0071404","cellular response to low-density lipoprotein particle stimulus",39,-0.592078026667728,-1.41838744677667,0.05,0.05,0.471961868140671,3591,"tags=41%, list=5%, signal=39%","TGFB1/MIA3/SREBF2/AKT1/MYD88/LPL/SOCS5/LDLR/RXRA/SMPD3/APP/CD36/CES1/ITGB2/PPARG/FCER1G"
"GO:0010916","BP","GO:0010916","negative regulation of very-low-density lipoprotein particle clearance",4,-0.895159399130994,-1.41981857401697,0.0464646464646465,0.0464646464646465,0.460040721588103,6894,"tags=75%, list=9%, signal=68%","APOC3/LRPAP1/APOC1"
"GO:0055096","BP","GO:0055096","low-density lipoprotein particle mediated signaling",4,-0.895414326271078,-1.42022291573406,0.0464646464646465,0.0464646464646465,0.460040721588103,3591,"tags=75%, list=5%, signal=72%","LPL/APP/CD36"
"GO:0010632","BP","GO:0010632","regulation of epithelial cell migration",72,-0.533494183569261,-1.42099586981143,0.035650623885918,0.035650623885918,0.418731360892915,7580,"tags=32%, list=10%, signal=29%","ITGA2/PFN2/JUN/BMPR2/MACIR/RAB25/RREB1/PFN1/INSL3/PLCG1/ADAM9/IRS2/CTSH/IL4/ITGA3/SASH1/GLIPR2/MMP9/DOCK5/CD63/TACSTD2/ENPP2/PTPRG"
"GO:0170040","BP","GO:0170040","proteinogenic amino acid catabolic process",84,-0.529203207346289,-1.42159342535269,0.0106761565836299,0.0106761565836299,0.249845388331502,13279,"tags=43%, list=17%, signal=36%","GLS2/AGXT2/HGD/GAD2/FTCD/UROC1/QDPR/AFMID/BCKDK/CARNMT1/HSD17B10/AGXT/IDO2/CSAD/CDO1/ARG1/HAAO/HPD/OAT/ALDH4A1/GPT2/AADAT/NOS3/DAO/KYNU/GLUL/AMDHD1/HNMT/GCAT/DDAH1/FAH/SDSL/SDS/ASRGL1/HAL/HDC"
"GO:2001244","BP","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway",68,-0.537195726765306,-1.42214277875877,0.0352112676056338,0.0352112676056338,0.415725084455735,7827,"tags=21%, list=10%, signal=19%","MYC/BCAP31/GSDME/BID/PLAGL2/MCL1/TP73/NKX3-1/S100A9/S100A8/NACC2/CLU/MMP2/CAV1"
"GO:2000977","BP","GO:2000977","regulation of forebrain neuron differentiation",4,-0.8968591497751,-1.42251456038324,0.0464646464646465,0.0464646464646465,0.460040721588103,3947,"tags=100%, list=5%, signal=95%","B2M/PROX1/GATA2"
"GO:0180064","BP","GO:0180064","protein O-linked glycosylation via xylose",58,-0.55858624443309,-1.42264973503736,0.0334507042253521,0.0334507042253521,0.408531413279948,8371,"tags=40%, list=11%, signal=35%","IGF1/CSGALNACT2/TM9SF2/GALNT3/SLC10A7/UGDH/EXTL2/NDST1/PXYLP1/VANGL2/HS3ST3A1/CHST14/CHST12/CHPF2/B3GAT1/CHSY1/EXT1/NDST3/CHPF/CHSY3/CHST13/HS6ST3/HS3ST1"
"GO:0032147","BP","GO:0032147","activation of protein kinase activity",39,-0.594013454803216,-1.42302397582836,0.0446428571428571,0.0446428571428571,0.458750957758938,11779,"tags=46%, list=15%, signal=39%","RIPK3/STK11/GAS6/ITGB1BP1/STRADB/IGF1/TPX2/TNFRSF10A/JAK2/KIF14/CLSPN/TOM1L1/TLR3/ECT2/NRG1/PRLR/CHI3L1/FBN1"
"GO:0019511","BP","GO:0019511","peptidyl-proline hydroxylation",4,-0.897269125801958,-1.42316482622238,0.0464646464646465,0.0464646464646465,0.460040721588103,4522,"tags=50%, list=6%, signal=47%","P3H2/P4HB"
"GO:0034377","BP","GO:0034377","plasma lipoprotein particle assembly",27,-0.633387408639787,-1.42373340372957,0.0475319926873857,0.0475319926873857,0.462149113001596,14245,"tags=48%, list=18%, signal=39%","APOE/SOAT2/PRKACG/MFSD2A/PRKACB/NR1H2/ABCA7/APOC3/DGAT1/FECH/PLAGL2/APOC1/APOA2"
"GO:2000243","BP","GO:2000243","positive regulation of reproductive process",89,-0.525199879760237,-1.42373915148033,0.0107719928186715,0.0107719928186715,0.250649864496339,8403,"tags=31%, list=11%, signal=28%","RBM46/CDC25A/RAD51AP1/IQCF1/LFNG/PLCB1/PDE3A/ZFPM2/SHH/TACR2/WNT4/AURKA/EDNRB/MAPK15/ACVR1B/CFAP69/ABCB1/CACNA1H/PLB1/P2RY1/UNC5C/NR5A1/HYAL3/INHBA/RETN/AR/SYCE3/VEGFA"
"GO:0003321","BP","GO:0003321","positive regulation of blood pressure by epinephrine-norepinephrine",4,-0.897856963006348,-1.42409719891723,0.0464646464646465,0.0464646464646465,0.460040721588103,1839,"tags=50%, list=2%, signal=49%","ADRB1/TPM1"
"GO:0001969","BP","GO:0001969","regulation of activation of membrane attack complex",4,-0.898225619439946,-1.42468192746095,0.0464646464646465,0.0464646464646465,0.460040721588103,5018,"tags=100%, list=6%, signal=94%","C3/CR1/CLU"
"GO:0060838","BP","GO:0060838","lymphatic endothelial cell fate commitment",3,-0.920268305357511,-1.42503700581488,0.0467479674796748,0.0467479674796748,0.460542034875639,1719,"tags=100%, list=2%, signal=98%","PROX1/PDPN"
"GO:0042629","CC","GO:0042629","mast cell granule",4,-0.898648871500469,-1.42535325050979,0.0464646464646465,0.0464646464646465,0.460040721588103,3191,"tags=100%, list=4%, signal=96%","CLNK/CXCR2/SRGN"
"GO:1902410","BP","GO:1902410","mitotic cytokinetic process",38,-0.600096828215709,-1.42586505287881,0.0378378378378378,0.0378378378378378,0.430131807100114,12801,"tags=37%, list=16%, signal=31%","ARF1/IQGAP3/AURKB/ARF6/CHMP5/KIF20A/MTMR3/CNTROB/CHMP2A/CHMP3/CHMP4C/ECT2/SPART/KLHDC8B"
"GO:0098732","BP","GO:0098732","macromolecule deacylation",40,-0.597501962276598,-1.42587945928377,0.0381818181818182,0.0381818181818182,0.430131807100114,5619,"tags=32%, list=7%, signal=30%","LYPLA2/MAPT/HDAC4/ABHD17A/DESI1/TPPP/CPT1C/FLNA/NOTUM/PPT1/ABHD17C/BEX4/FRY"
"GO:0021508","BP","GO:0021508","floor plate formation",3,-0.920954363891597,-1.42609936859922,0.0467479674796748,0.0467479674796748,0.460542034875639,2568,"tags=67%, list=3%, signal=64%","GLI2/CDK20"
"GO:0051452","BP","GO:0051452","intracellular pH reduction",58,-0.559965116328198,-1.42616155036718,0.0316901408450704,0.0316901408450704,0.402669170060588,10928,"tags=47%, list=14%, signal=40%","CLN5/ATP6V1A/ATP6V1B2/ATP6V0A2/SLC9A8/LAMP1/TCIRG1/CLN3/ATP6AP2/ATP6V0E1/ATP6V0B/ATP6AP1/CA2/TPCN2/LAMP2/CREG1/FASLG/RAB39A/SLAMF8/PPT1/AVP/SLC11A1/ATP6V0A1/RAB38/GRN/DMXL2/RAB20"
