"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000285840",4.25383643731261,3.13545047954325,5.03437244484439,0.00122970539433622,0.0489007120102432,-0.5462722617929
"ENSG00000286129",2.52290687044874,4.36028448206146,5.82616980935908,0.000503042952380513,0.0372840247408358,0.305002429708281
"ENSG00000286373",6.0895720782843,-0.322449787702793,5.77773827392013,0.000530056832599619,0.0374737582540394,-0.0894001470122499
"PM20D1-AS1",5.45421036292678,1.66411949983343,7.0901262937385,0.000141638510832747,0.0219221698270189,1.4819817982829
"ENSG00000287382",4.45708752933723,3.97900960453956,6.35927048362781,0.000288274179916635,0.0300736494463801,0.883680952790661
"ENSG00000287595",4.61826982015705,0.913757356444562,6.254348153478,0.000320796716389249,0.0316794543762451,0.702380829498852
"ENSG00000287612",10.319094756944,-1.01508493533427,5.48190053575493,0.000734396577269882,0.0405827497155983,-0.191674878134358
"ENSG00000288087",9.37576398197761,-1.28347084474756,5.17537534092522,0.00104226155948074,0.0466351041892185,-0.57074276380835
"ENSG00000289298",2.32476184841568,1.26478667380702,5.0190792890913,0.00125217162952977,0.0492706527263521,-0.49299457086375
"ENSG00000290729",7.17133776953918,1.1008097860613,7.97008664154332,6.46524689545393e-05,0.0151175307579562,1.8936690279166
"ENSG00000293852",7.60105319709519,0.941437246121644,7.47541610506816,9.95760329318292e-05,0.0189315442797402,1.54104096982052
"ENSG00000295143",2.71368267896513,3.44118862508924,5.46397924548749,0.000749322581569285,0.0405827497155983,-0.0686459660223164
"ENSG00000296772",7.77335016113821,-1.49417030576066,6.97876436521162,0.000157256990842588,0.0225287251035969,0.774235718152127
"ENSG00000297141",5.5744015567812,3.14099304535431,5.6067988693906,0.00063906237345977,0.0393952904948245,0.12478112020852
"ENSG00000297649",5.82582629433443,4.18984351551692,8.89032281755309,3.05926005946407e-05,0.0129553486500286,2.93238435916599
"ENSG00000300313",7.72304020751328,-2.20688693955897,5.13396946587543,0.00109381343175372,0.0470890870530544,-1.0430940639591
"ENSG00000302257",7.50266497171941,-1.47265987045483,5.3353735260499,0.0008668072134386,0.0427404840287514,-0.293000880958525
"ENSG00000303011",5.30874535447096,-1.18806309543749,5.23394650915741,0.000973854594429344,0.045127845135481,-0.466608158634165
"ENSG00000303369",4.20593670458859,0.0411798194167138,5.09928985434201,0.00113915684088183,0.0470890870530544,-0.462994003873074
"ENSG00000303688",4.08958674650177,3.84044595836684,5.70850244238587,0.000571508886185802,0.038141217141841,0.187545837826877
"ENSG00000304642",2.5781070536781,5.38598055401676,5.55417147288334,0.000677453751027048,0.0396302972281757,-0.0370797747953961
"ENSG00000306334",8.06330894454235,-0.61899647246707,5.99895768168807,0.000418403264287359,0.0356132954200742,0.160745205281118
"ENSG00000306410",3.12166106053283,1.83882957343393,5.31224193834186,0.000890025319311504,0.043315275288885,-0.166808996697834
"ENSG00000307415",10.1391320014355,1.18911293664081,9.17802343387842,2.45365255078941e-05,0.0129553486500286,2.4344034976878
"ENSG00000308142",7.07728250797778,1.80397627909138,7.22918821958513,0.000124514126556233,0.0211082573044454,1.57687181175373
"ENSG00000309250",3.80870185010375,1.09598723653099,5.16372627604611,0.00105648897953063,0.0466351041892185,-0.328538298919927
"ENSG00000309792",3.29225647126069,1.55023671927937,5.95951691880716,0.000436231267715521,0.0365147026359933,0.491925058999535
"ENSG00000310039",5.74992154017723,-1.26234131956182,5.13541131403229,0.00109197177101896,0.0470890870530544,-0.601760571574817
